URN,dbid,Categoria,Familia,Category,Nombre de tipo,Longitud,Área,Volumen,Perímetro,Nota Clave
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3376,Revit Muros,Muro básico,Revit Muros,MNE_Concreto_10cm,1,0.2,0.02,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3656,Revit Muros,Muro básico,Revit Muros,PINT_Graniplast sobre pantallas color blanco,0.994996943,0.197999389,0.001979994,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3798,Revit Muros,Muro básico,Revit Muros,PINT_Graniplast sobre pantallas color blanco,3.290000154,7.576173962,0.07576174,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3917,Revit Muros,Muro básico,Revit Muros,PINT_Graniplast sobre pantallas color blanco,2.295003211,5.214791658,0.052147917,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3918,Revit Muros,Muro básico,Revit Muros,PINT_Graniplast sobre pantallas color blanco,3.29011654,7.434942156,0.074349422,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3919,Revit Muros,Muro básico,Revit Muros,PINT_Graniplast sobre pantallas color blanco,3.29011654,7.731398098,0.077313981,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3790,Revit Muros,Muro básico,Revit Muros,PA_Tablón de gres mocca contrapaso escaleras,1.2,0.1635,0.0040875,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3791,Revit Muros,Muro básico,Revit Muros,PA_Tablón de gres mocca contrapaso escaleras,1.2,0.1635,0.0040875,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3792,Revit Muros,Muro básico,Revit Muros,PA_Tablón de gres mocca contrapaso escaleras,1.2,0.1635,0.0040875,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3793,Revit Muros,Muro básico,Revit Muros,PA_Tablón de gres mocca contrapaso escaleras,1.2,0.1635,0.0040875,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3794,Revit Muros,Muro básico,Revit Muros,PA_Tablón de gres mocca contrapaso escaleras,1.2,0.1635,0.0040875,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3795,Revit Muros,Muro básico,Revit Muros,PA_Tablón de gres mocca contrapaso escaleras,1.2,0.1635,0.0040875,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3796,Revit Muros,Muro básico,Revit Muros,PA_Tablón de gres mocca contrapaso escaleras,1.2,0.1635,0.0040875,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3797,Revit Muros,Muro básico,Revit Muros,PA_Tablón de gres mocca contrapaso escaleras,1.2,0.1635,0.0040875,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,4412,Revit Muros,Muro básico,Revit Muros,PA_Tablón de gres mocca contrapaso escaleras,1.2,0.1635,0.0040875,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,4422,Revit Muros,Muro básico,Revit Muros,PA_Tablón de gres mocca contrapaso escaleras,1.2,0.1635,0.0040875,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,4441,Revit Muros,Muro básico,Revit Muros,PA_Tablón de gres mocca contrapaso escaleras,1.2,0.1635,0.0040875,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,4450,Revit Muros,Muro básico,Revit Muros,PA_Tablón de gres mocca contrapaso escaleras,1.2,0.1635,0.0040875,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,4459,Revit Muros,Muro básico,Revit Muros,PA_Tablón de gres mocca contrapaso escaleras,1.2,0.1635,0.0040875,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,4476,Revit Muros,Muro básico,Revit Muros,PA_Tablón de gres mocca contrapaso escaleras,1.2,0.1635,0.0040875,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,4484,Revit Muros,Muro básico,Revit Muros,PA_Tablón de gres mocca contrapaso escaleras,1.2,0.1635,0.0040875,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,4492,Revit Muros,Muro básico,Revit Muros,PA_Tablón de gres mocca contrapaso escaleras,1.2,0.1635,0.0040875,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3882,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,0.175003057,0.012250214,0.000183753,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3883,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,0.3,0.021,0.000315,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3884,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,0.07,0.0109375,0.000164063,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3885,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,0.299856726,0.020989971,0.00031485,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3886,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,0.299856726,0.020989971,0.00031485,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3887,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,1.207500154,0.085050011,0.00127575,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3888,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,0.07,0.0109375,0.000164063,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3889,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,0.07,0.0109375,0.000164063,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3890,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,0.07,0.0109375,0.000164063,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3891,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,1.15761654,0.080508158,0.001207622,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3892,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,0.069973267,0.010933323,0.000164,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3893,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,0.299973267,0.020998129,0.000314972,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3894,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,0.069973267,0.010933323,0.000164,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3895,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,0.299972198,0.020998054,0.000314971,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3896,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,0.07011654,0.010955709,0.000164336,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3897,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,0.299973267,0.020998129,0.000314972,,
